,probeID,pvalue
1,210218_s_at,1.80E-07
2,209148_at,5.21E-07
3,203249_at,7.82E-07
4,222057_at,1.20E-06
5,221876_at,1.39E-06
6,202124_s_at,1.91E-06
7,206637_at,1.97E-06
8,220661_s_at,2.05E-06
9,202269_x_at,2.22E-06
10,200710_at,2.56E-06
11,203153_at,2.91E-06
12,206698_at,2.94E-06
13,212001_at,3.06E-06
14,219095_at,4.17E-06
15,200085_s_at,4.41E-06
16,204087_s_at,5.02E-06
17,206025_s_at,5.21E-06
18,200887_s_at,5.50E-06
19,206026_s_at,5.69E-06
20,201311_s_at,5.92E-06
21,209390_at,7.20E-06
22,200083_at,7.22E-06
23,213797_at,8.26E-06
24,219627_at,9.39E-06
25,205019_s_at,9.40E-06
26,204319_s_at,9.46E-06
27,202129_s_at,9.60E-06
28,209339_at,9.64E-06
29,AFFX.HUMISGF3A.M97935_3_at,9.75E-06
30,209761_s_at,9.99E-06
31,207435_s_at,1.05E-05
32,204902_s_at,1.17E-05
33,203115_at,1.30E-05
34,218274_s_at,1.46E-05
35,213293_s_at,1.53E-05
36,204747_at,1.61E-05
37,AFFX.HUMISGF3A.M97935_MB_at,1.62E-05
38,202792_s_at,1.62E-05
39,209950_s_at,1.65E-05
40,202182_at,1.70E-05
41,219435_at,1.71E-05
42,208807_s_at,1.75E-05
43,209273_s_at,1.75E-05
44,218943_s_at,1.81E-05
45,205950_s_at,1.83E-05
46,209276_s_at,1.86E-05
47,205483_s_at,1.97E-05
48,213988_s_at,1.97E-05
49,205012_s_at,2.02E-05
50,201591_s_at,2.03E-05
51,202270_at,2.04E-05
52,215089_s_at,2.05E-05
53,34406_at,2.10E-05
54,201221_s_at,2.15E-05
55,221479_s_at,2.16E-05
56,220315_at,2.19E-05
57,217914_at,2.30E-05
58,208012_x_at,2.33E-05
59,203623_at,2.37E-05
60,207827_x_at,2.55E-05
61,202411_at,2.64E-05
62,217502_at,2.65E-05
63,211546_x_at,2.69E-05
64,213408_s_at,2.78E-05
65,212973_at,2.88E-05
66,206513_at,3.07E-05
67,207616_s_at,3.11E-05
68,212280_x_at,3.34E-05
69,219863_at,3.43E-05
70,218920_at,3.44E-05
71,210463_x_at,3.60E-05
72,209890_at,3.61E-05
73,201545_s_at,3.70E-05
74,218117_at,3.72E-05
75,211820_x_at,3.87E-05
76,212165_at,4.01E-05
77,205277_at,4.02E-05
78,214511_x_at,4.33E-05
79,202748_at,4.41E-05
80,203661_s_at,4.49E-05
81,212674_s_at,4.53E-05
82,209174_s_at,4.53E-05
83,203709_at,4.60E-05
84,32099_at,4.65E-05
85,202617_s_at,4.70E-05
86,204439_at,5.01E-05
87,221800_s_at,5.13E-05
88,209110_s_at,5.24E-05
89,206956_at,5.25E-05
90,203595_s_at,5.26E-05
91,213669_at,5.28E-05
92,208806_at,5.33E-05
93,206133_at,5.37E-05
94,203116_s_at,5.45E-05
95,207350_s_at,5.50E-05
96,212118_at,5.68E-05
97,201475_x_at,5.71E-05
98,209578_s_at,5.79E-05
99,216306_x_at,5.96E-05
100,210647_x_at,6.25E-05
101,202361_at,6.38E-05
102,205192_at,6.40E-05
103,208737_at,6.43E-05
104,205592_at,6.46E-05
105,208922_s_at,6.55E-05
106,201680_x_at,6.71E-05
107,202687_s_at,6.85E-05
108,215011_at,7.01E-05
109,218986_s_at,7.15E-05
110,204467_s_at,7.27E-05
111,218596_at,7.30E-05
112,213028_at,7.34E-05
113,200067_x_at,7.43E-05
114,213361_at,7.59E-05
115,208823_s_at,7.82E-05
116,209762_x_at,8.02E-05
117,212346_s_at,8.13E-05
118,205569_at,8.14E-05
119,209969_s_at,8.15E-05
120,209452_s_at,8.22E-05
121,208313_s_at,8.27E-05
122,219458_s_at,8.29E-05
123,221425_s_at,8.43E-05
124,AFFX.HUMISGF3A.M97935_MA_at,8.57E-05
125,203280_at,8.58E-05
126,202326_at,8.78E-05
127,216950_s_at,8.94E-05
128,202559_x_at,8.96E-05
129,202446_s_at,9.11E-05
130,213153_at,9.15E-05
131,209889_at,9.29E-05
132,206593_s_at,9.45E-05
133,218992_at,9.48E-05
134,204046_at,9.50E-05
135,202027_at,9.84E-05
136,210652_s_at,0.000101479
137,212725_s_at,0.000102023
138,203871_at,0.000102465
139,214857_at,0.000104356
140,221495_s_at,0.000104917
141,202863_at,0.00010494
142,219209_at,0.00010538
143,202167_s_at,0.000105879
144,201470_at,0.00010601
145,222047_s_at,0.000110573
146,217734_s_at,0.000111376
147,219947_at,0.000111786
148,218019_s_at,0.00011289
149,203502_at,0.000113682
150,210081_at,0.000118066
151,219684_at,0.000118439
152,201931_at,0.000118799
153,204258_at,0.000119338
154,201639_s_at,0.000119524
155,204428_s_at,0.000121218
156,218400_at,0.000121747
157,212319_at,0.000125121
158,215938_s_at,0.000125895
159,207498_s_at,0.000126891
160,204483_at,0.000128115
161,204698_at,0.000128345
162,202688_at,0.000129255
163,200654_at,0.000129369
164,217801_at,0.000131746
165,209352_s_at,0.000132006
166,202860_at,0.000132953
167,202430_s_at,0.000134925
168,220974_x_at,0.000136395
169,204193_at,0.000136413
170,204833_at,0.000136647
171,210029_at,0.000141313
172,218644_at,0.000141869
173,215227_x_at,0.00014198
174,219145_at,0.000142337
175,200983_x_at,0.000146958
176,203977_at,0.000148171
177,202130_at,0.00014973
178,204466_s_at,0.000150546
179,212082_s_at,0.000150666
180,221742_at,0.000153272
181,218475_at,0.000155327
182,203286_at,0.000157522
183,222125_s_at,0.000158872
184,200617_at,0.00015892
185,218034_at,0.000160669
186,203966_s_at,0.000161116
187,219722_s_at,0.000161679
188,206562_s_at,0.000162697
189,213366_x_at,0.000163289
190,221619_s_at,0.000163694
191,221890_at,0.000165554
192,201864_at,0.000166912
193,212144_at,0.00017189
194,219546_at,0.000171926
195,210001_s_at,0.000172098
196,202113_s_at,0.000172497
197,46665_at,0.000173569
198,201629_s_at,0.0001745
199,208949_s_at,0.000174762
200,201285_at,0.000175161
201,213670_x_at,0.00017543
202,202086_at,0.000175614
203,208984_x_at,0.000179349
204,221427_s_at,0.000180506
205,36936_at,0.000181175
206,201823_s_at,0.000182107
207,206145_at,0.000183892
208,210648_x_at,0.000185092
209,213213_at,0.000186722
210,205711_x_at,0.000187888
211,213046_at,0.000190111
212,207805_s_at,0.000191088
213,207100_s_at,0.000191106
214,208336_s_at,0.000191611
215,221621_at,0.000192787
216,211566_x_at,0.000193669
217,201748_s_at,0.000194111
218,200075_s_at,0.000194869
219,217866_at,0.000198016
220,213460_x_at,0.000201042
221,59644_at,0.000201983
222,218676_s_at,0.000204206
223,201644_at,0.000205425
224,220143_x_at,0.000208305
225,209046_s_at,0.000208879
226,221724_s_at,0.000209435
227,215699_x_at,0.000210369
228,219809_at,0.000212887
229,218116_at,0.000215176
230,214241_at,0.000215744
231,217299_s_at,0.000217599
232,211560_s_at,0.000217678
233,213294_at,0.000218077
234,205842_s_at,0.000219321
235,214100_x_at,0.000219432
236,217046_s_at,0.000221135
237,205660_at,0.000221361
238,40149_at,0.00022155
239,32259_at,0.000222291
240,211986_at,0.000223871
241,52940_at,0.000230986
242,215147_at,0.000232018
243,208781_x_at,0.000232394
244,217749_at,0.000233844
245,213545_x_at,0.00023857
246,221932_s_at,0.000239126
247,200759_x_at,0.000239351
248,201891_s_at,0.00024077
249,202104_s_at,0.000241089
250,205441_at,0.00024213
251,202117_at,0.000242192
252,208914_at,0.000243821
253,204692_at,0.000245259
254,205091_x_at,0.000246499
255,201546_at,0.000248872
256,221478_at,0.000251198
257,37796_at,0.000251771
258,217716_s_at,0.000255399
259,202905_x_at,0.000256713
260,215473_at,0.000257605
261,205550_s_at,0.000258156
262,214433_s_at,0.000261815
263,211658_at,0.000265695
264,219716_at,0.000265799
265,204178_s_at,0.000267988
266,202256_at,0.000268922
267,222131_x_at,0.000269879
268,222345_at,0.000270713
269,222152_at,0.000270732
270,204758_s_at,0.000271021
271,60528_at,0.000271309
272,214184_at,0.000273276
273,222240_s_at,0.000276143
274,204353_s_at,0.000278264
275,203229_s_at,0.000280353
276,218381_s_at,0.000280801
277,204355_at,0.000280949
278,210859_x_at,0.000283205
279,202456_s_at,0.000285705
280,204328_at,0.000288049
281,205552_s_at,0.000289219
282,201649_at,0.000290277
283,218077_s_at,0.000290906
284,216231_s_at,0.000292063
285,210627_s_at,0.000292158
286,201613_s_at,0.000301329
287,213976_at,0.000304268
288,201200_at,0.000305069
289,211979_at,0.000309531
290,202281_at,0.000314875
291,212153_at,0.000315579
292,221627_at,0.000317581
293,202385_s_at,0.000318323
294,201818_at,0.00031955
295,204211_x_at,0.000321093
296,213431_x_at,0.000322072
297,202876_s_at,0.000327913
298,219691_at,0.000330347
299,212068_s_at,0.000333308
300,218821_at,0.000335534
301,221889_at,0.000335808
302,36084_at,0.000336092
303,202328_s_at,0.000337711
304,203196_at,0.000338141
305,202048_s_at,0.000338314
306,209497_s_at,0.000339044
307,204415_at,0.000339449
308,33304_at,0.0003412
309,39705_at,0.000342733
310,216549_s_at,0.000347993
311,213776_at,0.000349241
312,36129_at,0.00034967
313,217994_x_at,0.000351817
314,204780_s_at,0.00035287
315,217221_x_at,0.000354694
316,221789_x_at,0.000356831
317,203662_s_at,0.000358404
318,202131_s_at,0.000366595
319,217773_s_at,0.000368846
320,213758_at,0.000371639
321,218380_at,0.000371932
322,213848_at,0.000373325
323,214453_s_at,0.000373553
324,219672_at,0.000374978
325,33132_at,0.000375014
326,213415_at,0.00037773
327,202864_s_at,0.000378363
328,212219_at,0.000383491
329,208965_s_at,0.000383834
330,200041_s_at,0.000383914
331,37278_at,0.00038439
332,203596_s_at,0.000385515
333,215897_at,0.000386003
334,200895_s_at,0.000387686
335,209545_s_at,0.000389131
336,204828_at,0.000390398
337,217933_s_at,0.000390486
338,221500_s_at,0.000392647
339,205126_at,0.000395611
340,203553_s_at,0.000399695
341,213078_x_at,0.000402112
342,216347_s_at,0.000402724
343,200918_s_at,0.000402931
344,204502_at,0.000407633
345,211821_x_at,0.000407704
346,211367_s_at,0.000408364
347,212552_at,0.000408447
348,200986_at,0.000409317
349,201738_at,0.000409518
350,219574_at,0.000412562
351,218476_at,0.000413611
352,221888_at,0.000415534
353,202317_s_at,0.000416194
354,200838_at,0.00041926
355,202001_s_at,0.00042134
356,214148_at,0.000421697
357,212017_at,0.000421954
358,205017_s_at,0.00042315
359,218058_at,0.000425495
360,216216_at,0.000431234
361,206937_at,0.000431482
362,221962_s_at,0.000435075
363,202513_s_at,0.00043878
364,212329_at,0.000439089
365,214177_s_at,0.000442412
366,203452_at,0.000443202
367,202907_s_at,0.000446664
368,217868_s_at,0.000452905
369,203725_at,0.000453902
370,203802_x_at,0.000456491
371,204425_at,0.000457802
372,207500_at,0.000458133
373,219055_at,0.000459193
374,200676_s_at,0.000461369
375,221944_at,0.0004619
376,218121_at,0.000462265
