,probeID,pvalue
1,202887_s_at,1.42E-08
2,209110_s_at,1.75E-08
3,218865_at,2.36E-08
4,217931_at,9.59E-08
5,217949_s_at,1.16E-07
6,203068_at,5.56E-07
7,201196_s_at,8.28E-07
8,202535_at,1.16E-06
9,204501_at,1.23E-06
10,202297_s_at,1.48E-06
11,219452_at,1.52E-06
12,202487_s_at,2.64E-06
13,212032_s_at,2.70E-06
14,219889_at,3.75E-06
15,208608_s_at,3.76E-06
16,209794_at,4.00E-06
17,209058_at,4.87E-06
18,218876_at,4.98E-06
19,204787_at,5.45E-06
20,205539_at,5.70E-06
21,209600_s_at,5.97E-06
22,219471_at,6.34E-06
23,212934_at,6.84E-06
24,201454_s_at,7.48E-06
25,203451_at,7.95E-06
26,44790_s_at,8.92E-06
27,214321_at,9.03E-06
28,210045_at,9.30E-06
29,209864_at,9.40E-06
30,218739_at,1.27E-05
31,220528_at,1.30E-05
32,217865_at,1.35E-05
33,208328_s_at,1.36E-05
34,204008_at,1.37E-05
35,38290_at,1.54E-05
36,204167_at,1.61E-05
37,205645_at,1.69E-05
38,209511_at,1.72E-05
39,204174_at,1.72E-05
40,200997_at,1.73E-05
41,206179_s_at,1.75E-05
42,217825_s_at,1.84E-05
43,206514_s_at,1.87E-05
44,213526_s_at,1.97E-05
45,210386_s_at,1.99E-05
46,220956_s_at,2.03E-05
47,204894_s_at,2.12E-05
48,218251_at,2.24E-05
49,202811_at,2.25E-05
50,202121_s_at,2.34E-05
51,211961_s_at,2.49E-05
52,209979_at,2.49E-05
53,202439_s_at,2.51E-05
54,209605_at,2.72E-05
55,219966_x_at,2.73E-05
56,214708_at,3.07E-05
57,202070_s_at,3.07E-05
58,200740_s_at,3.08E-05
59,203063_at,3.19E-05
60,209007_s_at,3.27E-05
61,210452_x_at,3.49E-05
62,211940_x_at,3.74E-05
63,204567_s_at,3.82E-05
64,216206_x_at,3.88E-05
65,214017_s_at,4.10E-05
66,215863_at,4.17E-05
67,58780_s_at,4.45E-05
68,201218_at,4.53E-05
69,218914_at,4.76E-05
70,212099_at,5.19E-05
71,211692_s_at,5.34E-05
72,204387_x_at,5.34E-05
73,212932_at,5.60E-05
74,212970_at,5.62E-05
75,206342_x_at,5.98E-05
76,201362_at,6.08E-05
77,203287_at,6.36E-05
78,219969_at,6.57E-05
79,213501_at,6.73E-05
80,208453_s_at,6.88E-05
81,220326_s_at,6.92E-05
82,206473_at,6.98E-05
83,205627_at,7.54E-05
84,212817_at,7.68E-05
85,205021_s_at,7.88E-05
86,213589_s_at,8.53E-05
87,219788_at,8.53E-05
88,205174_s_at,8.90E-05
89,206643_at,8.92E-05
90,210724_at,9.21E-05
91,217614_at,9.40E-05
92,37384_at,9.90E-05
93,216919_at,0.000103073
94,218773_s_at,0.000106962
95,214793_at,0.000113443
96,208093_s_at,0.000117179
97,213571_s_at,0.000118879
98,209331_s_at,0.000119761
99,203042_at,0.000121424
100,207064_s_at,0.000122965
101,213022_s_at,0.000128361
102,213828_x_at,0.000132458
103,51146_at,0.000140247
104,211113_s_at,0.000143219
105,219935_at,0.000146527
106,204949_at,0.000157714
107,221606_s_at,0.000159378
108,201244_s_at,0.000162752
109,216262_s_at,0.000167162
110,213962_s_at,0.000170111
111,202227_s_at,0.000176016
112,208755_x_at,0.000177202
113,214826_at,0.00017962
114,202392_s_at,0.000181464
115,201941_at,0.000184594
116,201739_at,0.000184692
117,201940_at,0.00018611
118,218078_s_at,0.000189467
119,216680_s_at,0.000194868
120,216960_s_at,0.000201407
121,35160_at,0.000201762
122,218018_at,0.000203437
123,220210_at,0.000205847
124,212523_s_at,0.000208224
125,212728_at,0.000211277
126,220068_at,0.000220125
127,217824_at,0.000221258
128,214091_s_at,0.000222039
129,203022_at,0.000230837
130,216804_s_at,0.000236246
131,203887_s_at,0.000237898
132,217521_at,0.000237913
133,205245_at,0.000240824
134,203090_at,0.000242876
135,220404_at,0.000245832
136,203041_s_at,0.000255635
137,217168_s_at,0.00026238
138,202333_s_at,0.000268447
139,209784_s_at,0.000268591
140,212275_s_at,0.000269106
141,210023_s_at,0.000269636
142,206199_at,0.00026988
143,202172_at,0.000270351
144,209759_s_at,0.000274931
145,200660_at,0.000275517
146,205641_s_at,0.000282843
147,221922_at,0.000286235
148,208931_s_at,0.00028811
149,222218_s_at,0.000288869
150,221497_x_at,0.000292122
151,203091_at,0.000293065
152,214453_s_at,0.000294789
153,217978_s_at,0.000303646
154,208785_s_at,0.000313775
155,220605_s_at,0.000317274
156,218570_at,0.000328411
157,200828_s_at,0.000343222
158,205570_at,0.000345801
159,208926_at,0.000347335
160,214684_at,0.000355563
161,203266_s_at,0.000358069
162,219718_at,0.000360518
163,205441_at,0.000361848
164,202241_at,0.000362512
165,205051_s_at,0.000367391
166,202948_at,0.000368033
167,200078_s_at,0.000370811
168,202540_s_at,0.000371125
169,219446_at,0.000371368
170,218205_s_at,0.000377056
171,220421_at,0.000380879
172,206656_s_at,0.000383905
173,213973_at,0.000383944
174,213658_at,0.000397083
175,209193_at,0.000397566
176,207826_s_at,0.000401039
177,202894_at,0.000403582
178,37170_at,0.000408241
179,202177_at,0.000408432
180,210242_x_at,0.000408823
181,217173_s_at,0.000419517
182,210117_at,0.000428508
183,203435_s_at,0.000435361
184,218115_at,0.000442687
185,217780_at,0.000448549
186,218753_at,0.000457313
187,202027_at,0.000459037
188,64438_at,0.000462946
189,213805_at,0.00047625
190,210644_s_at,0.000481326
191,AFFX.HUMISGF3A.M97935_MA_at,0.000481919
192,214455_at,0.000486483
193,212830_at,0.000487461
194,219766_at,0.000497054
195,206324_s_at,0.000497665
196,211792_s_at,0.000503833
197,201768_s_at,0.00051022
198,209723_at,0.000513265
199,207023_x_at,0.000525084
200,218880_at,0.000525295
201,203271_s_at,0.000532892
202,217795_s_at,0.000541087
203,218380_at,0.000562381
204,219128_at,0.000569143
205,200961_at,0.000592907
206,202425_x_at,0.000593264
207,215485_s_at,0.000603796
208,201197_at,0.000614297
209,216063_at,0.000627351
210,212797_at,0.000631507
211,211152_s_at,0.000647548
212,219575_s_at,0.000650077
213,203888_at,0.000652341
214,36829_at,0.000653747
215,AFFX.HUMISGF3A.M97935_MB_at,0.000655276
216,203097_s_at,0.000667515
217,209264_s_at,0.000679462
218,203478_at,0.000708776
219,201382_at,0.000709817
220,213174_at,0.000738934
221,201219_at,0.000749801
222,203456_at,0.000769677
223,206208_at,0.000770377
224,218958_at,0.000774543
225,216210_x_at,0.000792941
226,220497_at,0.000808026
227,201725_at,0.00081058
228,221774_x_at,0.000814519
229,213914_s_at,0.000822367
230,219833_s_at,0.000827486
231,210219_at,0.00084114
232,222077_s_at,0.000851183
233,203270_at,0.00086302
234,200739_s_at,0.000866887
235,34063_at,0.000868154
236,217014_s_at,0.00089283
237,202795_x_at,0.000896531
238,632_at,0.000900975
239,217669_s_at,0.000909121
240,220505_at,0.000910237
241,219762_s_at,0.00091132
242,207922_s_at,0.00091313
243,209691_s_at,0.000913491
244,215005_at,0.000930648
245,220208_at,0.000930734
246,206833_s_at,0.000933336
247,221934_s_at,0.000952533
248,203089_s_at,0.000954304
249,207111_at,0.000962849
250,203841_x_at,0.00096542
251,203181_x_at,0.000966067
252,202146_at,0.000972324
253,205449_at,0.000974081
254,219406_at,0.00097636
255,206908_s_at,0.000982745
256,205081_at,0.000988836
257,217973_at,0.000992027
258,217432_s_at,0.000999695
259,207904_s_at,0.001003103
260,204882_at,0.001003915
261,210325_at,0.001004132
262,205294_at,0.001019481
263,202124_s_at,0.001022045
264,210544_s_at,0.00102563
265,221758_at,0.001027403
266,216129_at,0.001056245
267,204470_at,0.001058163
268,203185_at,0.001066625
269,215488_at,0.001073744
270,217104_at,0.001075643
271,219102_at,0.001075756
272,208694_at,0.001087127
273,215261_at,0.001089426
274,208580_x_at,0.001095552
275,202008_s_at,0.001097741
276,219366_at,0.001102575
277,62212_at,0.001103858
278,218845_at,0.001105589
279,217835_x_at,0.001106068
280,205967_at,0.001110771
281,213647_at,0.001119996
282,222133_s_at,0.001121588
283,219938_s_at,0.001122186
284,209734_at,0.001135505
285,212844_at,0.001136486
286,218121_at,0.001150543
287,221864_at,0.001160212
288,217664_at,0.001167528
289,200756_x_at,0.001171836
290,206187_at,0.001177481
291,203313_s_at,0.001179179
292,207042_at,0.001187228
293,220408_x_at,0.001189742
294,AFFX.HUMISGF3A.M97935_5_at,0.001193805
295,205216_s_at,0.001197386
296,209945_s_at,0.001202381
297,214993_at,0.001203464
298,212899_at,0.001203634
299,209722_s_at,0.001205282
300,216380_x_at,0.001212405
301,204140_at,0.001217801
302,209911_x_at,0.001249904
303,219275_at,0.001266072
304,202649_x_at,0.001279695
305,205546_s_at,0.00129559
306,209059_s_at,0.001305035
307,220001_at,0.001308802
308,219770_at,0.001315801
309,215184_at,0.001341586
310,201494_at,0.001345705
311,204201_s_at,0.001351854
312,212026_s_at,0.001353019
313,200827_at,0.001364506
314,200954_at,0.001382503
315,202815_s_at,0.001386802
316,212807_s_at,0.00138948
317,213688_at,0.001390976
318,206628_at,0.001394566
319,219337_at,0.00140092
320,208057_s_at,0.001401218
321,210483_at,0.001402245
322,33579_i_at,0.001412764
323,211444_at,0.001426982
324,219515_at,0.001437029
325,209072_at,0.00144752
326,206517_at,0.001471746
327,201464_x_at,0.001472738
328,209765_at,0.001484964
329,201303_at,0.001500823
330,212174_at,0.001506998
331,204748_at,0.001512118
332,37590_g_at,0.001512701
333,201363_s_at,0.001518958
334,205205_at,0.001519006
335,206209_s_at,0.001531273
336,203603_s_at,0.001562526
337,220514_at,0.001586961
338,200831_s_at,0.001597276
339,203433_at,0.001618438
340,213192_at,0.001630705
341,202244_at,0.001637343
342,212944_at,0.001659455
343,219322_s_at,0.001660695
344,219124_at,0.001671167
345,202861_at,0.001673908
346,204603_at,0.001682474
347,206587_at,0.0016946
348,203020_at,0.001723518
349,208576_s_at,0.001731101
350,209189_at,0.001746238
351,221009_s_at,0.001752565
352,201455_s_at,0.001799968
353,78383_at,0.001801304
354,216203_at,0.00180803
355,209263_x_at,0.001810547
356,211730_s_at,0.001832263
357,AFFX.HUMISGF3A.M97935_3_at,0.001833894
358,40489_at,0.001836285
359,206275_s_at,0.001848633
360,216607_s_at,0.001850815
361,206181_at,0.001854983
362,219451_at,0.001870087
363,219913_s_at,0.001870242
364,203661_s_at,0.00187865
365,218030_at,0.001887766
366,221979_at,0.001891513
367,212496_s_at,0.00189191
368,208627_s_at,0.001896949
369,205608_s_at,0.001903657
370,208728_s_at,0.001907642
371,207091_at,0.001909047
372,217918_at,0.001909837
373,217873_at,0.00191288
374,50400_at,0.001913057
375,206499_s_at,0.001919227
376,209326_at,0.001919437
377,221096_s_at,0.00192843
378,209999_x_at,0.001944062
379,204566_at,0.001965196
380,215253_s_at,0.001970858
381,207671_s_at,0.001993607
382,222309_at,0.002017525
383,211458_s_at,0.002029488
384,221029_s_at,0.002030357
385,209266_s_at,0.002032334
386,211054_at,0.002033848
387,219611_s_at,0.002041767
388,221820_s_at,0.002042937
389,210963_s_at,0.002045996
390,218524_at,0.002053114
391,213127_s_at,0.002053198
392,217886_at,0.002054356
393,204124_at,0.002062274
394,217917_s_at,0.002072169
395,200887_s_at,0.002075515
396,214059_at,0.002084986
397,46142_at,0.002092017
398,213165_at,0.002113381
399,219517_at,0.00211458
400,221541_at,0.002120431
401,214635_at,0.002135066
402,217139_at,0.002136682
403,214581_x_at,0.00215737
404,205034_at,0.00218069
405,213638_at,0.002189566
406,219737_s_at,0.002217543
407,207880_at,0.002236708
408,217826_s_at,0.002245225
409,209218_at,0.002245695
410,207677_s_at,0.002247418
411,206387_at,0.00225002
412,205817_at,0.002253074
413,203984_s_at,0.002274927
414,222067_x_at,0.002284693
415,215343_at,0.002287128
416,209807_s_at,0.002350696
417,214746_s_at,0.00236303
418,208152_s_at,0.002364748
419,203289_s_at,0.002380136
420,207857_at,0.00238316
421,213159_at,0.002386857
422,218401_s_at,0.002390121
423,202923_s_at,0.002396473
424,202187_s_at,0.002404201
425,214813_at,0.002405883
426,215045_at,0.002412099
427,220386_s_at,0.002413588
428,208188_at,0.002429594
429,206259_at,0.002430406
430,218856_at,0.002443309
431,214415_at,0.002444455
432,201186_at,0.00244836
433,202637_s_at,0.002472076
434,213963_s_at,0.002474399
435,203140_at,0.002476137
436,218986_s_at,0.00250136
437,208956_x_at,0.002503135
438,214975_s_at,0.002520911
439,204542_at,0.002524195
440,221666_s_at,0.00254156
441,202029_x_at,0.002545239
442,200923_at,0.002562097
443,214546_s_at,0.002567424
444,217430_x_at,0.002568413
445,209454_s_at,0.002576753
446,202539_s_at,0.002585465
447,219132_at,0.002589504
448,202147_s_at,0.002599831
